City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,geraldton,-28.7667,114.6,17.23,94,75,1.54,AU,1684874563
83,enewetak,11.3474,162.3373,28.23,73,100,7.31,MH,1684874563
84,lazaro cardenas,17.9583,-102.2,31.05,57,72,4.74,MX,1684874563
85,jamestown,42.097,-79.2353,23.8,38,75,3.6,US,1684874275
86,mutsu,41.2894,141.2169,9.16,81,86,1.11,JP,1684874358
87,stanley,54.868,-1.6985,13.77,74,99,4.2,GB,1684874564
88,newman,37.3138,-121.0208,28.9,10,66,5.12,US,1684874140
89,khandyga,62.6667,135.6,4.1,61,7,0.88,RU,1684873995
90,codo,-4.4553,-43.8856,27.8,72,96,0.79,BR,1684874564
91,ribeira grande,38.5167,-28.7,19.22,72,40,4.63,PT,1684874564
92,nakskov,54.8373,11.1284,9.52,78,58,8.2,DK,1684874564
93,st. john's,47.5649,-52.7093,4.32,94,100,8.23,CA,1684873933
94,berdigestyakh,62.0989,126.6992,3.47,52,58,0.65,RU,1684874564
95,port shepstone,-30.7414,30.455,16.5,77,11,4.11,ZA,1684874564
96,taulaga,-11.0553,-171.0883,27.83,71,29,3.2,AS,1684874564
97,hermanus,-34.4187,19.2345,14.6,78,52,2.38,ZA,1684874565
98,kirakira,-10.4544,161.9205,27.43,83,85,2.79,SB,1684874005
99,malango,-2.9627,119.9001,19.1,98,100,0.62,ID,1684874565
100,wailua homesteads,22.0669,-159.378,26.24,76,40,5.14,US,1684874565
101,susuman,62.7833,148.1667,2.67,99,100,0.99,RU,1684874565
102,kulhudhuffushi,6.6221,73.07,28.52,75,20,2.69,MV,1684874565
103,alice springs,-23.7,133.8833,1.75,87,0,2.49,AU,1684873977
104,tangalle,6.024,80.7911,25.53,87,1,3.32,LK,1684874565
105,san antonio de pale,-1.4014,5.6325,26.35,81,91,2.0,GQ,1684874565
106,vahdat,38.5563,69.0135,17.41,72,20,2.0,TJ,1684874565
107,olonkinbyen,70.9221,-8.7187,1.55,99,100,5.76,SJ,1684874565
108,ust'-uda,54.1742,103.0304,8.86,76,100,5.74,RU,1684874136
109,coquimbo,-29.9533,-71.3436,15.85,88,75,4.63,CL,1684873976
110,kuopio,62.8924,27.677,12.9,76,84,4.12,FI,1684874566
111,negru voda,43.8167,28.2,14.46,91,6,1.93,RO,1684874566
112,puerto leguizamo,-0.1934,-74.7819,26.92,93,94,0.58,CO,1684874566
113,masuguru,-11.3667,38.4167,24.21,76,87,2.22,TZ,1684874566
114,cabras,39.93,8.5314,16.25,84,12,3.67,IT,1684874566
115,college,64.8569,-147.8028,18.66,36,20,2.06,US,1684874566
116,lebu,-37.6167,-73.65,12.68,71,12,7.41,CL,1684874566
117,berezovyy,51.6667,135.7,11.0,85,99,0.77,RU,1684874566
118,alegrete,-29.7831,-55.7919,22.06,79,28,3.55,BR,1684874566
119,egilsstadir,65.2653,-14.3948,7.95,49,0,11.83,IS,1684873991
120,flying fish cove,-10.4217,105.6791,24.82,88,40,4.12,CX,1684874567
121,kodiak,57.79,-152.4072,6.73,93,100,9.26,US,1684874567
122,al kharijah,25.4514,30.5464,28.88,14,0,3.97,EG,1684874567
123,taoudenni,22.6783,-3.9836,31.14,19,100,4.45,ML,1684874001
124,brokopondo,4.75,-55.1667,26.37,88,92,2.74,SR,1684874567
125,boguchany,58.3814,97.4531,1.81,87,24,4.56,RU,1684874567
126,inirida,3.8653,-67.9239,28.68,85,64,0.76,CO,1684874567
127,kill devil hills,36.0307,-75.676,18.88,79,100,9.77,US,1684874567
128,mundo nuevo,18.7,-95.5,28.47,70,29,5.57,MX,1684874567
129,beyneu,45.3167,55.2,22.16,43,44,7.07,KZ,1684874567
130,qaqortoq,60.7167,-46.0333,0.83,67,16,7.25,GL,1684874567
131,itoman,26.1247,127.6694,21.01,71,20,2.57,JP,1684874567
132,nemuro,43.3236,145.575,4.73,85,100,8.24,JP,1684874568
133,sandnessjoen,66.0217,12.6316,8.69,83,20,3.6,NO,1684873973
134,canico,32.6333,-16.85,19.35,77,40,1.54,PT,1684874568
135,dudinka,69.4058,86.1778,-3.51,95,41,4.72,RU,1684873938
136,kruisfontein,-34.0033,24.7314,12.26,61,8,2.32,ZA,1684874568
137,afaahiti,-17.75,-149.2833,27.93,87,69,6.32,PF,1684873996
138,cogoleto,44.3893,8.6429,19.88,82,19,1.79,IT,1684874568
139,nahiyat ash shinafiyah,31.5874,44.6602,33.02,22,26,3.9,IQ,1684874568
140,saldanha,-33.0117,17.9442,10.03,86,96,2.02,ZA,1684873972
141,general acha,-37.377,-64.6043,18.34,64,88,1.89,AR,1684874568
142,west island,-12.1568,96.8225,25.99,89,40,1.54,CC,1684874568
143,kavaratti,10.5669,72.642,28.99,73,19,2.37,IN,1684874569
144,ilulissat,69.2167,-51.1,-2.99,74,75,8.23,GL,1684874569
145,lawrenceburg,38.0373,-84.8966,28.32,43,0,1.79,US,1684874569
146,grootfontein,-19.5667,18.1167,13.76,41,0,1.54,NA,1684874569
147,tekkali,18.6167,84.2333,28.02,90,8,4.15,IN,1684874569
148,kismayo,-0.3582,42.5454,26.91,79,4,6.45,SO,1684874569
149,igrim,63.1906,64.4162,12.77,86,63,1.22,RU,1684873999
150,taltal,-25.4,-70.4833,18.32,76,23,1.76,CL,1684873972
151,plettenberg bay,-34.0527,23.3716,13.97,68,18,1.91,ZA,1684873995
152,mckinleyville,40.9465,-124.1006,21.81,64,0,8.23,US,1684874569
153,smithers,54.7804,-127.1743,19.18,42,20,4.12,CA,1684873879
154,la'ie,21.6477,-157.9253,28.98,74,50,7.27,US,1684873913
155,cruzeiro do sul,-29.5128,-51.9853,23.05,80,8,0.83,BR,1684874569
156,hammerfest,70.6634,23.6821,7.25,87,75,0.0,NO,1684874570
157,yellowknife,62.456,-114.3525,16.29,31,75,8.23,CA,1684874570
158,port blair,11.6667,92.75,27.02,89,40,3.6,IN,1684874570
159,ola,59.5833,151.2833,2.86,98,100,2.7,RU,1684873984
160,fisterra,42.9049,-9.2629,19.86,80,2,10.28,ES,1684874130
161,buala,-8.145,159.5921,27.41,80,67,1.6,SB,1684874570
162,kelmentsi,48.4656,26.83,13.59,78,3,1.73,UA,1684874570
163,miyaly,48.8844,53.7836,20.56,29,12,6.51,KZ,1684874570
164,san rafael,-34.6177,-68.3301,21.33,40,74,10.29,AR,1684874570
165,buenos aires,-34.6132,-58.3772,21.66,90,100,0.89,AR,1684874460
166,teknaf,20.8624,92.3058,26.88,87,6,1.48,BD,1684874570
167,queenstown,-31.8976,26.8753,10.2,43,0,2.71,ZA,1684873936
168,george town,5.4112,100.3354,28.97,74,20,0.0,MY,1684874390
169,usogorsk,63.4106,48.6872,12.46,85,73,1.91,RU,1684873901
170,razole,16.4833,81.8333,28.3,87,4,3.37,IN,1684874571
171,brookings,44.3114,-96.7984,29.54,35,0,3.09,US,1684874039
172,kailua-kona,19.6406,-155.9956,26.82,84,100,4.12,US,1684874571
173,krutinka,56.0055,71.5113,11.42,53,18,2.97,RU,1684874571
174,greenville,35.6127,-77.3663,26.09,35,0,4.12,US,1684874276
175,hola,51.5377,23.1902,16.1,72,95,2.91,PL,1684874571
176,saint augustine beach,29.8505,-81.2654,26.73,73,99,6.69,US,1684874571
177,koge,55.458,12.1821,11.99,89,75,3.09,DK,1684874571
178,mishan,45.55,131.8833,13.52,63,5,2.01,CN,1684874309
179,wynyard,-41.0,145.7167,12.77,94,100,4.61,AU,1684874571
180,colonia,50.9333,6.95,12.75,67,75,3.09,DE,1684874462
181,three rivers,41.9439,-85.6325,28.83,18,0,0.0,US,1684874572
182,sept-iles,50.2001,-66.3821,11.29,66,75,6.17,CA,1684874402
183,syracuse,37.0881,15.2792,17.65,79,17,0.96,IT,1684874572
184,wagar,16.1525,36.2032,33.34,30,0,4.0,SD,1684874572
185,mount gambier,-37.8333,140.7667,10.65,92,51,3.85,AU,1684874113
186,dabou,5.3256,-4.3769,27.17,85,99,2.62,CI,1684874572
187,princeville,45.7668,-61.2985,13.53,59,0,3.6,CA,1684874572
188,keflavik,64.0049,-22.5624,6.24,65,75,20.58,IS,1684874572
189,rockport,28.0206,-97.0544,31.16,69,0,5.14,US,1684874349
190,prince rupert,54.3161,-130.3201,13.05,73,0,9.26,CA,1684874152
191,hanzhong,33.0728,107.0303,10.8,89,39,0.79,CN,1684874572
192,tazacorte,28.629,-17.9293,18.54,82,100,1.54,ES,1684874573
193,kyzyl-suu,42.3414,78.0056,7.8,94,100,1.66,KG,1684874573
194,avarua,-21.2078,-159.775,24.03,69,15,2.06,CK,1684874573
195,katsuren-haebaru,26.3369,127.8719,21.01,73,0,2.57,JP,1684874573
196,san sebastian de la gomera,28.0916,-17.1133,20.77,63,75,2.06,ES,1684874573
197,uturoa,-16.7333,-151.4333,26.33,82,83,4.94,PF,1684874573
198,udachny,66.4167,112.4,1.92,80,66,3.21,RU,1684874573
199,san patricio,28.017,-97.5169,33.05,52,22,5.74,US,1684874573
200,latakia,35.5148,35.7768,18.1,83,0,2.81,SY,1684874574
201,vadso,70.0744,29.7487,9.49,87,75,4.12,NO,1684874122
202,pacocha,-17.5833,-71.3333,21.08,78,100,3.6,PE,1684874574
203,crane,31.3974,-102.3501,33.72,17,0,1.76,US,1684874574
204,dalnerechensk,45.9339,133.7225,12.35,78,63,3.96,RU,1684874574
205,nguigmi,14.2495,13.1092,33.24,32,36,1.38,NE,1684874166
206,vilyuchinsk,52.9306,158.4028,4.15,90,95,2.51,RU,1684874574
207,badger,64.8,-147.5333,18.62,36,20,2.06,US,1684874366
208,touros,-5.1989,-35.4608,26.44,82,29,6.4,BR,1684874574
209,taro,-8.3862,115.28,21.03,91,10,0.26,ID,1684874574
210,sao gabriel da cachoeira,-0.1303,-67.0892,28.43,75,95,1.16,BR,1684874147
211,victorica,-36.2151,-65.4359,18.91,61,81,3.43,AR,1684874575
212,gaspe,48.8334,-64.4819,15.12,29,40,7.72,CA,1684874575
213,cambria,35.5641,-121.0808,19.41,82,55,1.79,US,1684874575
